INFO 2018-07-08 11:55:00,832 regain_all_loss 11664 11868 Index:132, current_money:9990.720419605928, current_bet:9.396369700184028, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,832 regain_all_loss 11664 11868 Index:134, current_money:9999.083188639093, current_bet:10, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,832 regain_all_loss 11664 11868 Index:143, current_money:9989.083188639093, current_bet:9.411637178269734, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:146, current_money:9994.447821830707, current_bet:10, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:149, current_money:9999.047821830707, current_bet:10, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:153, current_money:10004.147821830707, current_bet:10, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:154, current_money:10011.047821830707, current_bet:10, max_money: 10013.647561674377
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:155, current_money:10018.147821830707, current_bet:10, max_money: 10018.147821830707
INFO 2018-07-08 11:55:00,833 regain_all_loss 11664 11868 Index:156, current_money:10023.547821830707, current_bet:10, max_money: 10023.547821830707
INFO 2018-07-08 11:55:00,834 regain_all_loss 11664 11868 Index:160, current_money:10030.147821830707, current_bet:10, max_money: 10030.147821830707
INFO 2018-07-08 11:55:00,834 regain_all_loss 11664 11868 Index:172, current_money:10038.847821830708, current_bet:10, max_money: 10038.847821830708
INFO 2018-07-08 11:55:00,835 regain_all_loss 11664 11868 Index:179, current_money:10044.047821830709, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,836 regain_all_loss 11664 11868 Index:185, current_money:10034.047821830709, current_bet:3.5842293906810037, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,837 regain_all_loss 11664 11868 Index:188, current_money:10030.463592440028, current_bet:4.886413449885171, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,837 regain_all_loss 11664 11868 Index:189, current_money:10025.577178990143, current_bet:6.6203020933928824, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,837 regain_all_loss 11664 11868 Index:195, current_money:10018.95687689675, current_bet:8.929161898206296, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,837 regain_all_loss 11664 11868 Index:203, current_money:10023.778624321782, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,837 regain_all_loss 11664 11868 Index:210, current_money:10013.778624321782, current_bet:11.006980912337234, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,838 regain_all_loss 11664 11868 Index:211, current_money:10020.27274306006, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,839 regain_all_loss 11664 11868 Index:216, current_money:10010.27274306006, current_bet:12.842235274010715, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,839 regain_all_loss 11664 11868 Index:222, current_money:10017.592817166247, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,839 regain_all_loss 11664 11868 Index:228, current_money:10024.992817166247, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:235, current_money:10014.992817166247, current_bet:11.484191566981067, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:239, current_money:10023.720802757152, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:241, current_money:10028.120802757152, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:243, current_money:10034.920802757151, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:245, current_money:10024.920802757151, current_bet:7.44241987297964, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,840 regain_all_loss 11664 11868 Index:248, current_money:10028.642012693641, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:252, current_money:10018.642012693641, current_bet:9.374837319951288, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:260, current_money:10022.86068948762, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:261, current_money:10028.36068948762, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:262, current_money:10018.36068948762, current_bet:10.441923716703096, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:274, current_money:10022.850716685802, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,841 regain_all_loss 11664 11868 Index:277, current_money:10012.850716685802, current_bet:11.062803242874912, max_money: 10044.047821830709
