win,0.1145945945945946,1.06,9.25
loss,3.055555555555556,3.85,1.26
loss,2.6412213740458013,3.46,1.31
win,0.0927743086529884,1.04,11.21
win,0.7477477477477477,1.66,2.22
loss,0.3870967741935484,1.32,3.41
loss,1.5126582278481013,2.39,1.58
win,0.4862068965517241,1.41,2.90
loss,1.5870967741935482,2.46,1.55
loss,1.2011494252873562,2.09,1.74
win,0.5665399239543727,1.49,2.63
win,0.1585014409221902,1.10,6.94
loss,0.6007905138339922,1.52,2.53
win,2.8203125,3.61,1.28
loss,1.2456140350877192,2.13,1.71
loss,3.716666666666667,4.46,1.20
win,0.11336898395721925,1.06,9.35
win,0.5088967971530248,1.43,2.81
win,0.7625570776255708,1.67,2.19
loss,0.36619718309859156,1.30,3.55
win,0.18433931484502444,1.13,6.13
win,0.2935560859188544,1.23,4.19
win,0.09437386569872959,1.04,11.02
loss,2.330882352941176,3.17,1.36
loss,2.5606060606060606,3.38,1.32
win,1.0939226519337015,1.98,1.81
loss,4.620689655172415,5.36,1.16
win,0.10510510510510511,1.05,9.99
loss,0.9842931937172775,1.88,1.91
win,0.7671232876712328,1.68,2.19
loss,1.2514619883040936,2.14,1.71
win,0.12076749435665916,1.07,8.86
loss,0.4569536423841059,1.38,3.02
loss,2.3851851851851853,3.22,1.35
win,0.15580736543909351,1.10,7.06
win,0.4633333333333333,1.39,3.00
win,1.0158730158730158,1.92,1.89
win,2.0780141843971633,2.93,1.41
loss,5.451327433628319,6.16,1.13
loss,3.0236220472440944,3.84,1.27
win,0.22807017543859648,1.17,5.13
win,4.186440677966102,4.94,1.18
loss,6.6,7.26,1.10
win,0.5328467153284671,1.46,2.74
win,0.3693181818181818,1.30,3.52
loss,1.419753086419753,2.30,1.62
loss,2.767441860465116,3.57,1.29
win,0.5215827338129496,1.45,2.78
win,0.4878892733564013,1.41,2.89
win,1.2456140350877192,2.13,1.71
loss,2.8984375,3.71,1.28
win,2.085714285714286,2.92,1.40
loss,0.5708812260536399,1.49,2.61
loss,0.6541666666666667,1.57,2.40
loss,2.553030303030303,3.37,1.32
loss,2.049645390070922,2.89,1.41
win,0.18708609271523177,1.13,6.04
win,0.08758503401360544,1.03,11.76
loss,0.2850467289719626,1.22,4.28
win,0.8725490196078431,1.78,2.04
loss,1.7333333333333334,2.60,1.50
win,0.28978622327790976,1.22,4.21
win,0.4557377049180328,1.39,3.05
loss,1.3926380368098161,2.27,1.63
loss,1.8356164383561646,2.68,1.46
loss,1.2138728323699424,2.10,1.73
win,0.14323607427055704,1.08,7.54
win,0.5526315789473684,1.47,2.66
win,0.17262830482115088,1.11,6.43
loss,1.2916666666666667,2.17,1.68
loss,0.5291970802919708,1.45,2.74
win,0.5143884892086331,1.43,2.78
win,0.8238095238095238,1.73,2.10
loss,1.6821192052980132,2.54,1.51
loss,0.8066037735849056,1.71,2.12
win,1.6339869281045751,2.50,1.53
win,0.6144578313253012,1.53,2.49
loss,0.5526315789473684,1.47,2.66
loss,4.396551724137931,5.10,1.16
loss,2.4736842105263155,3.29,1.33
loss,0.31725888324873097,1.25,3.94
win,0.33957219251336895,1.27,3.74
win,1.258823529411765,2.14,1.70
win,1.3515151515151516,2.23,1.65
win,0.22656249999999997,1.16,5.12
win,0.6007905138339922,1.52,2.53
loss,2.8359375,3.63,1.28
win,0.15714285714285717,1.10,7.00
win,0.2463465553235908,1.18,4.79
loss,0.24380165289256198,1.18,4.84
win,0.9435897435897437,1.84,1.95
win,2.432835820895522,3.26,1.34
win,0.6352459016393442,1.55,2.44
loss,2.5757575757575757,3.40,1.32
win,0.6352459016393442,1.55,2.44
loss,1.627450980392157,2.49,1.53
win,0.42452830188679247,1.35,3.18
win,0.11216931216931218,1.06,9.45
loss,1.6754966887417218,2.53,1.51
loss,0.7906976744186046,1.70,2.15
loss,0.5217391304347826,1.44,2.76
loss,0.7706422018348623,1.68,2.18
win,1.627450980392157,2.49,1.53
loss,2.5227272727272725,3.33,1.32
loss,2.0567375886524824,2.90,1.41
loss,0.6260162601626017,1.54,2.46
win,2.262773722627737,3.10,1.37
win,0.8955223880597016,1.80,2.01
loss,2.388059701492537,3.20,1.34
loss,0.7953488372093024,1.71,2.15
win,0.3952095808383234,1.32,3.34
win,1.0376344086021505,1.93,1.86
win,0.8365384615384615,1.74,2.08
win,0.2621145374449339,1.19,4.54
win,0.4042553191489362,1.33,3.29
win,0.9095477386934674,1.81,1.99
win,0.2559139784946236,1.19,4.65
loss,0.7256637168141593,1.64,2.26
win,0.616,1.54,2.50
win,0.5017543859649123,1.43,2.85
win,0.4930555555555555,1.42,2.88
win,2.262773722627737,3.10,1.37
loss,0.5485074626865671,1.47,2.68
win,0.2213740458015267,1.16,5.24
loss,0.8905472636815922,1.79,2.01
win,0.6209677419354839,1.54,2.48
win,0.9689119170984457,1.87,1.93
win,0.5859375,1.50,2.56
win,0.15804597701149425,1.10,6.96
win,0.10028653295128939,1.05,10.47
win,1.3313253012048194,2.21,1.66
win,0.11534276387377586,1.06,9.19
loss,0.5142857142857143,1.44,2.80
win,2.262773722627737,3.10,1.37
win,0.9895287958115183,1.89,1.91
loss,3.2096774193548385,3.98,1.24
win,0.3963963963963964,1.32,3.33
win,0.17236024844720496,1.11,6.44
win,2.937007874015748,3.73,1.27
loss,2.301470588235294,3.13,1.36
win,0.2510548523206751,1.19,4.74
loss,1.7133333333333332,2.57,1.50
loss,1.0106382978723405,1.90,1.88
loss,0.7000000000000001,1.61,2.30
win,0.4272151898734177,1.35,3.16
win,0.41744548286604366,1.34,3.21
